event_id,doc_id,stock_code,event_type,event_time,has_policy_support,policy_directly_related_to_business,event_mentions_core_product,evidence_from_authoritative_source,source_government_or_exchange,source_company_announcement,source_major_media,social_attention_spikes,policy_attention_followup,institutional_attention_increases,investor_questions_increase,management_response_vague,announcement_contains_uncertainty,risk_or_uncertainty_disclosure,demand_side_policy,supply_side_policy,capacity_policy_support,event_evidence_strength,event_has_short_term_price_impact
E360,S103,000625,attention_spread,2026-04-13,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E362,S105,601012,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E363,S105,300274,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E364,S105,002202,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E365,S105,601615,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E366,S105,605117,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E367,S105,300763,policy_support,2024-08-02,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E368,S106,601127,earnings_quality_anomaly,2026-03-31,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,0.88,0.64
E374,S109,601012,policy_support,2024-12-20,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E375,S109,300274,policy_support,2024-12-20,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E376,S109,002202,policy_support,2024-12-20,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E377,S109,601615,policy_support,2024-12-20,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E378,S109,605117,policy_support,2024-12-20,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E379,S109,300763,policy_support,2024-12-20,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,0.94,0.78
E380,S110,000625,inquiry_letter_pressure,2026-03-07,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,0.88,0.58
E386,S114,601633,capacity_expansion,2026-04-18,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,0.90,0.63
E387,S115,002594,attention_spread,2025-01-23,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
E388,S115,600104,attention_spread,2025-01-23,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,0.76,0.68
