event_id,stock_code,event_time,entry_trade_date,exit_trade_date_5d,forward_return_5d,exit_trade_date_10d,forward_return_10d,future_info_ok
E300,300014,2024-08-16,2024-08-19,2024-08-23,-0.121161,2024-08-30,-0.092127,true
E301,002074,2024-08-16,2024-08-19,2024-08-23,-0.012175,2024-08-30,0.027117,true
E302,300207,2024-08-16,2024-08-19,2024-08-23,0.001291,2024-08-30,0.064558,true
E303,300438,2024-08-16,2024-08-19,2024-08-23,0.336105,2024-08-30,0.609857,true
E304,603659,2024-08-16,2024-08-19,2024-08-23,-0.046112,2024-08-30,0.008137,true
E305,300073,2024-08-16,2024-08-19,2024-08-23,0.022418,2024-08-30,0.101801,true
E306,002812,2024-08-16,2024-08-19,2024-08-23,-0.059978,2024-08-30,-0.003702,true
E307,300450,2024-08-16,2024-08-19,2024-08-23,-0.051383,2024-08-30,-0.076416,true
E308,002594,2024-08-16,2024-08-19,2024-08-23,0.017771,2024-08-30,0.061357,true
E309,601127,2024-08-16,2024-08-19,2024-08-23,-0.009912,2024-08-30,-0.058203,true
E310,000625,2024-08-16,2024-08-19,2024-08-23,-0.101080,2024-08-30,-0.093364,true
E311,601633,2024-08-16,2024-08-19,2024-08-23,0.000462,2024-08-30,0.032318,true
E312,600104,2024-08-16,2024-08-19,2024-08-23,-0.010728,2024-08-30,-0.044444,true
