trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-03-05,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,152,1,136,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-06,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,152,1,136,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-07,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,152,1,136,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-08,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,152,1,136,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-09,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,152,1,136,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-12,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-13,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-14,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-15,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-16,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,153,1,137,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-26,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,154,1,138,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-27,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,154,1,138,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-28,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,154,1,138,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-29,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,154,1,138,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-03-30,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,154,1,138,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
