doc_id,publish_time,status,model,request_id,error,annotation_input_sha256,prompt_version,annotated_at
GFEX-WR-20251013,2025-10-13,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-4303dfdd058d4925,,c26b165751b8d066718d84b82e34fb24fc7a6b24aea6848c6bcb102e07c53f0b,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:21+08:00
GFEX-WR-20251014,2025-10-14,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-e4713a640f74bbe4,,16c719d4267e5f9229d1079d6f52a33c2c40c7f404fa55368fa6948b65f801b0,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:25+08:00
GFEX-WR-20251015,2025-10-15,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-fb3d484396e475cb,,ba33f3b106a8b3d9701248334c7d65e48b7247b572a1853558520e99995b02c7,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:29+08:00
GFEX-WR-20251016,2025-10-16,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-79c8545827452df2,,dfe292db918c1d465a26e1240226d83ce49cb885a42126670e79e62dfdb76cb3,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:32+08:00
GFEX-WR-20251022,2025-10-22,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-9776ebe9c1be1868,,5395be326d104f785193e3996935cf035addff3e4efc0a1a259d3d14514d4e6d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:37+08:00
GFEX-WR-20251027,2025-10-27,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-841db05bb76dab9c,,4af4bbb36c77ce7b96890cd242b4add0b7d1cb693a706e5d34713d4bc3a2d231,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:41+08:00
GFEX-WR-20251107,2025-11-07,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-bf288cb41605e3ac,,18087362fa177e1c2dcd87aa360436c02ada10338db450ce30b32a705569f051,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:45+08:00
GFEX-WR-20251128,2025-11-28,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-255a67b88485850e,,f3558b005ef294424438c919f7f945ef065064c945ec1355c0f58f814331f41d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:50+08:00
GFEX-WR-20251201,2025-12-01,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-4fd9bdcd73639922,,b7c6d989475089a9eabd3019e0a27469f07d1cca8d00780d19df66a74d509b7f,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:46:55+08:00
LC-TEXT-0024,2025-12-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-f15f38637826d493,,900aa4f3f7cb0a7d456521e52bc89e84625de6f5ccfe6245d0b3da3190f269a9,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:47:37+08:00
GFEX-WR-20251208,2025-12-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-926179ba1bb88278,,62aa50cd75eb14822532ec46c27985419aca2fa9c933d8d60d2ba52a6bca5138,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:47:41+08:00
GFEX-WR-20251211,2025-12-11,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-61a7b10d322c85b8,,d0f0f23f0bfcefb25ecf766275ea4143b7ab340cc256d3ce7009a4cf25d46200,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:47:45+08:00
GFEX-WR-20251222,2025-12-22,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-3bb125e6eb95a416,,80ef0592fcf719f3642a69ac860ea36dd5317ca94a2f784aba4ed56fda8c7e20,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:49:04+08:00
GFEX-WR-20251230,2025-12-30,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-5f6bc3b888306b30,,99ea31f56476bc840f77f9a2c56904e44ef8e112b263653a7cd7884eea1ebc20,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:49:08+08:00
GFEX-WR-20260106,2026-01-06,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-8c6e2a11a3013016,,b96ecbd08477b4c9e720ff4beff42e86f387eeaf1fffd0a7f1797a1344689fea,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:49:12+08:00
GFEX-WR-20260107,2026-01-07,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-af0a2f3a215d3fd9,,bfd5288320293e962d88fb2da160d373d902419d05dd527bc92069f537e90d22,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:49:16+08:00
LC-TEXT-0027,2026-01-08,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-66c6d4b507bbd961,,9b0bb517510a2955cebf3f0572f2f3c9f1f9799dd263659097237f74352eb7b2,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:49:48+08:00
GFEX-WR-20260121,2026-01-21,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-385f011d985dc605,,ebe09759e0b8d2cf5584d6d12d0a9216b37ea80fa75f98fd799f1ddc390c91f6,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:50:34+08:00
LC-TEXT-0030,2026-01-22,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-dae669b60cb1e372,,3883db67f192b25c02c78f9a776aac02b39c91592c5408c512c82a5656c2563f,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:51:34+08:00
GFEX-WR-20260202,2026-02-02,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-2739e67b3eae2d14,,0d406b858e66625d249febb59140983aafab094b0a0831cba4919fbdec1b8a6d,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:52:35+08:00
GFEX-WR-20260204,2026-02-04,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-0b824bf1aadb9692,,ddffa1b31c4585f2dd7c0a1d9711f034d774598b5e43ba3eaa84a19dfe067fb3,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:52:44+08:00
GFEX-WR-20260209,2026-02-09,accepted,Qwen/Qwen2.5-0.5B-Instruct,local-a9192e7388159ce6,,26a858dda9ded6ddbc0a25dcd438ef3c79ca8cfba1b95052081f01deb55b9775,local-qwen-two-pass-v5-balanced-warehouse,2026-08-14T16:52:48+08:00
